dataset,epoch,seed,method,role,report,amortized_ms_per_record,amortized_records_per_second,auc,auc_ci_high,auc_ci_low,calibrated_actual_fpr_at_10pct,calibrated_actual_fpr_at_10pct_ci_high,calibrated_actual_fpr_at_10pct_ci_low,calibrated_actual_fpr_at_1pct,calibrated_actual_fpr_at_1pct_ci_high,calibrated_actual_fpr_at_1pct_ci_low,calibrated_tpr_at_10pct,calibrated_tpr_at_10pct_ci_high,calibrated_tpr_at_10pct_ci_low,calibrated_tpr_at_1pct,calibrated_tpr_at_1pct_ci_high,calibrated_tpr_at_1pct_ci_low,calibration_seconds,draft_input_tokens,draft_input_tokens_per_record,draft_sequences,draft_sequences_per_record,execution_group,execution_group_seconds,generated_tokens,generated_tokens_per_record,n_calibration,n_test_member,n_test_nonmember,pauc_10_normalized,pauc_10_raw,peak_allocated_gpu_bytes,preparation_seconds,roc_actual_fpr_at_10pct,roc_actual_fpr_at_1pct,roc_tpr_at_10pct_fpr,roc_tpr_at_1pct_fpr,scoring_records_per_second,target_forward_calls,target_input_tokens,target_input_tokens_per_record,target_sequences,target_sequences_per_record,test_seconds,total_seconds
newstection,1,1919,loss,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/loss/REPORT.json,74.00322577045881,13.512924464965524,0.59891425,0.6148246625,0.58266738125,0.081,0.09377605708245051,0.06983042853923943,0.006,0.010458448336941664,0.003435594376936234,0.1315,0.14701996299097114,0.11739290085531223,0.0185,0.025394766717736703,0.013451349814109871,13.849222810938954,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/loss,,0,0.0,200,2000,2000,0.07747749999999998,0.007747749999999998,17325619200,0.08597202610690147,0.1,0.01,0.1515,0.02,14.180489571082187,4200,2239030,559.7575,4200,1.05,282.0777082447894,296.01290308183525
newstection,1,1919,min_k_prob,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/min_k_prob/REPORT.json,74.578792309243,13.408637617158947,0.62024225,0.6364943750000001,0.60588659375,0.0965,0.11022502986382192,0.0843220272921492,0.0065,0.011089529172522494,0.0038025964940741515,0.172,0.1891640140458452,0.15609356897065663,0.019,0.025970414566263898,0.013873784918301425,14.249145913403481,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/min_k_prob,,0,0.0,200,2000,2000,0.08813000000000001,0.008813000000000001,17325619200,0.10669399495236576,0.1,0.01,0.1855,0.022,14.08652432535837,4200,2239030,559.7575,4200,1.05,283.95932932861615,298.315169236972
newstection,1,1919,min_k_pp,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/min_k_pp/REPORT.json,74.66188011321356,13.393715755398201,0.7406775,0.75403838125,0.7245405125,0.09,0.10334082716397261,0.07823115160665478,0.002,0.005131351785076866,0.0007780273070510575,0.2865,0.3067094413578432,0.2671091378312516,0.0155,0.021916645881830028,0.010940972933704062,14.263510877499357,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/min_k_pp,,0,0.0,200,2000,2000,0.15910750000000004,0.015910750000000005,17325619200,0.07062016450800002,0.1,0.01,0.3245,0.032,14.068982147793971,4200,2239030,559.7575,4200,1.05,284.31338941084687,298.6475204528542
newstection,1,1919,recall,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/recall/REPORT.json,364.7798911939608,2.7413791827364737,0.65594125,0.67329605,0.6399030750000001,0.0845,0.09750049821690863,0.07309256807381255,0.0125,0.018388039710650523,0.008481081388571086,0.132,0.1475427676951009,0.11786817910390121,0.026,0.033935273144663027,0.019882087677964753,69.54448401916306,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/recall,,0,0.0,200,2000,2000,0.07835500000000004,0.007835500000000004,17348851712,0.08152774861082435,0.1,0.01,0.164,0.0225,2.8787467141107137,8400,13146860,3286.715,8400,2.1,1389.4935530080693,1459.1195647758432
newstection,1,1919,icp_mia,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/icp_mia/REPORT.json,687.7937691872066,1.4539241918136885,0.6617925,0.67804050625,0.64516296875,0.1465,0.16267485414225555,0.13168049828559023,0.01,0.015395938459075187,0.006482767876552687,0.345,0.3661128347971279,0.3244814498600604,0.02,0.027118639188737373,0.014721726201265444,131.1852220678702,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/icp_mia,,0,0.0,200,2000,2000,0.11899250000000003,0.011899250000000004,17407547904,0.18083322956226766,0.1,0.01,0.24,0.02,1.5268288517397233,25200,24072775,6018.19375,25200,6.3,2619.809021451394,2751.1750767488265
newstection,1,1919,petal,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/petal/REPORT.json,82.11072328849696,12.178677278075954,0.59572425,0.61178620625,0.57866043125,0.0855,0.09856347351850255,0.07402575867765614,0.0015,0.004401032555770693,0.0005102635836384819,0.123,0.13812120387434756,0.10932424977571716,0.0075,0.012337914136224913,0.004550377435809225,14.331249335664324,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/petal,,0,0.0,200,2000,2000,0.07245250000000002,0.007245250000000002,17325619200,28.454083006712608,0.1,0.01,0.142,0.025,14.0027800721787,4600,2450965,612.74125,4600,1.15,285.6575608116109,328.4428931539878
newstection,1,1919,sead,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/sead/REPORT.json,79.09202958800597,12.643499037880884,0.599975,0.6149606625,0.5835420375,0.0885,0.10174945076676101,0.07682827914571014,0.008,0.012956077671536958,0.0049302968532159265,0.148,0.16423717031746463,0.1331124309685374,0.017,0.023661187151846397,0.012190680521843938,15.111375288455747,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/sead,,0,0.0,200,2000,2000,0.07934500000000004,0.007934500000000004,17325619200,0.0919243295211345,0.1,0.01,0.163,0.0195,13.281763842184784,4200,2239030,559.7575,4200,1.05,301.164818734047,316.3681183520239
newstection,1,1919,ws,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/ws/REPORT.json,2169.198536575743,0.4609997578085138,0.50805775,0.5273433281250001,0.488797621875,0.1,0.11392441240665252,0.08760922541834984,0.0185,0.025394766717736703,0.013451349814109871,0.0985,0.11233958028310354,0.08619980868374258,0.021,0.028263010469622922,0.015573520825817387,411.72234064457007,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/ws,,2143456,535.864,200,2000,2000,0.0513375,0.00513375,17155090944,5.198137878905982,0.1,0.01,0.099,0.01,0.4842689078409745,268800,2366956,591.739,8400,2.1,8259.873667779495,8676.794146302971
newstection,1,1919,rs,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/rs/REPORT.json,2168.5712307054782,0.46113311190367523,0.502150375,0.5183824906250001,0.482928790625,0.1145,0.12920022144962875,0.10127782200421726,0.016,0.02249946641817221,0.011356235350080627,0.1105,0.12499382212037552,0.0974995577117205,0.023,0.030541207128235243,0.017287655978080053,413.18015825760085,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/rs,,2146701,536.67525,200,2000,2000,0.05504375,0.005504375000000001,17144912384,5.498109840438701,0.1,0.01,0.1,0.0165,0.48451920825360456,268800,2367244,591.811,8400,2.1,8255.606654723873,8674.284922821913
newstection,1,1919,bt,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch1/seed1919/baseline/bt/REPORT.json,3262.5783013855107,0.3065060536862311,0.50928825,0.5270112187499999,0.49019810625,0.116,0.13077621765054118,0.10269607466146108,0.0,0.001917047281252934,1.0842021724855044e-19,0.118,0.13287638834089244,0.10458823578198477,0.0,0.001917047281252934,1.0842021724855044e-19,623.4113759651082,0,0.0,0,0.0,newstection/epoch1/seed1919/baseline/bt,,2966210,741.5525,200,2000,2000,0.05596125000000004,0.005596125000000004,17144912384,5.856595769291744,0.1,0.0,0.108,0.0,0.3220340901032054,403142,3510959,877.73975,12600,3.15,12421.045233807643,13050.313205542043
